id,SR_Pcode,State_Region,Tsp_Pcode,Township,Type,Facility,Date,Admitted_Total
Q008014021,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) ဥယျာဉ်ကြီး,04/17/20,0
Q008014021,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) ဥယျာဉ်ကြီး,04/06/20,5
Q008014021,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) ဥယျာဉ်ကြီး,04/16/20,0
Q008014021,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) ဥယျာဉ်ကြီး,04/13/20,0
Q008014021,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက) ဥယျာဉ်ကြီး,04/05/20,5
Q008014026,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လက်ပံဖြူ,04/18/20,0
Q008014026,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လက်ပံဖြူ,04/15/20,0
Q008014026,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လက်ပံဖြူ,04/06/20,1
Q008014026,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လက်ပံဖြူ,04/10/20,0
Q008014026,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လက်ပံဖြူ,04/12/20,0
Q008014026,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လက်ပံဖြူ,04/17/20,0
Q008014026,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လက်ပံဖြူ,04/14/20,0
Q008014026,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လက်ပံဖြူ,04/13/20,0
Q008014026,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လက်ပံဖြူ,04/16/20,0
Q008014026,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လက်ပံဖြူ,04/07/20,1
Q008014026,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လက်ပံဖြူ,04/05/20,1
Q008014041,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လိန်ပင်ကွင်း,04/16/20,0
Q008014041,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လိန်ပင်ကွင်း,04/10/20,4
Q008014041,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လိန်ပင်ကွင်း,04/18/20,0
Q008014041,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လိန်ပင်ကွင်း,04/17/20,0
Q008014041,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လိန်ပင်ကွင်း,04/06/20,4
Q008014041,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လိန်ပင်ကွင်း,04/14/20,0
Q008014041,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လိန်ပင်ကွင်း,04/13/20,0
Q008014041,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လိန်ပင်ကွင်း,04/05/20,4
Q008014041,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လိန်ပင်ကွင်း,04/12/20,4
Q008014041,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လိန်ပင်ကွင်း,04/15/20,0
Q008014041,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အမက)လိန်ပင်ကွင်း,04/07/20,4
Q008014018,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အလက) ရှမ်းကွင်း,04/18/20,0
Q008014018,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အလက) ရှမ်းကွင်း,04/12/20,0
Q008014018,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အလက) ရှမ်းကွင်း,04/07/20,2
Q008014018,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အလက) ရှမ်းကွင်း,04/13/20,0
Q008014018,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အလက) ရှမ်းကွင်း,04/17/20,0
Q008014018,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အလက) ရှမ်းကွင်း,04/15/20,0
Q008014018,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အလက) ရှမ်းကွင်း,04/06/20,2
Q008014018,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အလက) ရှမ်းကွင်း,04/16/20,0
Q008014018,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အလက) ရှမ်းကွင်း,04/10/20,2
