SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,Under_5_POP,Above_60_POP,MEAN_HH_Size,BED,PHYSNB,NURSNB,HSNB
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010014,Sintgaing,စဉ့်ကိုင်,132858,12181,13818,4,66,10,14,3
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010015,Myittha,မြစ်သား,193203,16171,17539,4,123,14,28,5
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010016,Tada-U,တံတားဦး,140700,11275,15260,4,98,13,26,6
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010017,Myingyan,မြင်းခြံ,281489,20138,31755,4,148,38,59,9
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010018,Taungtha,တောင်သာ,245196,17454,25757,4,114,13,25,8
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010019,Natogyi,နွားထိုးကြီး,202284,13918,21622,4,98,9,20,8
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010020,Kyaukpadaung,ကျောက်ပန်းတောင်း,291561,21729,32138,4,150,9,27,9
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010021,Ngazun,ငါန်းဇွန်,140501,9718,16003,4,82,8,18,7
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010022,Nyaung-U,ညောင်ဦး,247958,18047,27676,4,264,54,125,13
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010023,Yamethin,ရမည်းသင်း,253940,19832,24714,4,0,37,66,7
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010024,Pyawbwe,ပျော်ဘွယ်,272838,21751,27559,4,162,13,26,7
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010028,Meiktila,မိတ္ထီလာ,299943,25219,34059,4,232,94,134,14
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010029,Mahlaing,မလှိုင်,175373,11380,18921,4,98,12,21,6
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010030,Thazi,သာစည်,198449,18512,19612,4,125,12,20,5
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010031,Wundwin,ဝမ်းတွင်း,235575,17201,26379,4,98,12,23,6
MMR011,Mon,မွန်ပြည်နယ်,MMR011001,Mawlamyine,မော်လမြိုင်,258003,22510,30573,5,748,38,27,6
MMR011,Mon,မွန်ပြည်နယ်,MMR011002,Kyaikmaraw,ကျိုက္မရော,222091,21997,19040,5,NA,5,13,7
MMR011,Mon,မွန်ပြည်နယ်,MMR011003,Chaungzon,ချောင်းဆုံ,NA,10653,15205,4,98,9,39,8
MMR011,Mon,မွန်ပြည်နယ်,MMR011004,Thanbyuzayat,သံဖြူဇရပ်,160538,15215,17401,5,130,16,41,6
MMR011,Mon,မွန်ပြည်နယ်,MMR011005,Mudon,မုဒုံ,185012,16512,22665,5,41,21,29,9
MMR011,Mon,မွန်ပြည်နယ်,MMR011006,Ye,ရေး,265142,25564,24579,5,164,1,2,7
MMR011,Mon,မွန်ပြည်နယ်,MMR011007,Thaton,သထုံ,233867,23753,21816,5,116,18,89,5
MMR011,Mon,မွန်ပြည်နယ်,MMR011008,Paung,ပေါင်,NA,21592,21775,5,130,10,34,11
MMR011,Mon,မွန်ပြည်နယ်,MMR011009,Kyaikto,ကျိုက်ထို,156091,18149,14079,4,82,8,20,20
MMR011,Mon,မွန်ပြည်နယ်,MMR011010,Bilin,ဘီးလင်း,187465,18210,16348,4,89,10,29,10
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012001,Sittwe,စစ်တွေ,229376,10720,12309,5,516,70,208,9
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012002,Ponnagyun,ပုဏ္ဏားကျွန်း,137845,11296,11425,5,73,6,42,5
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012003,Mrauk-U,မြောက်ဦး,232434,16028,16418,5,148,7,40,8
