,Announcement Date,Hospital-original,hospital-name-mm,PPE,Glove,N-95,Surgical Mask,Goggle,Shoe Cover,16 slides CT,ICU Bed,ECG,Infusion Pump,Syringe Pump,Ventilators,Remarks,Ref,lat,long
147,02/04/2020,Mandalay,မန္တလေးခုတင် ၃၀၀ သင်ကြားရေးဆေးရုံ,null,null,null,null,5000.0,null,null,null,null,null,null,null,null,null,null,null
148,02/04/2020,Mandalay,မန္တလေး အရိုးဆေးရုံ,null,null,null,null,5000.0,null,null,null,null,null,null,null,null,null,null,null
149,02/04/2020,Yangon,ရန်ကုန်ပြည်သူ့ဆေးရုံကြီး,null,null,null,null,30000.0,null,null,null,null,null,null,null,null,null,null,null
150,02/04/2020,Yangon,ရန်ကုန် အထူးကုဆေးရုံကြီး,null,null,null,null,15000.0,null,null,null,null,null,null,null,null,null,null,null
151,02/04/2020,Yangon,ရန်ကုန်အထွေထွေရောဂါကုဆေးရုံသစ်ကြီး,null,null,null,null,15000.0,null,null,null,null,null,null,null,null,null,null,null
152,02/04/2020,Yangon,ရန်ကုန်ဗဟိုအမျိုးသမီးဆေးရုံကြီး,null,null,null,null,5000.0,null,null,null,null,null,null,null,null,null,null,null
153,02/04/2020,Yangon,မြောက်ဥက္ကလာပြည်သူ့ဆေးရုံကြီး,null,null,null,null,30000.0,null,null,null,null,null,null,null,null,null,null,null
154,02/04/2020,Yangon,ရန်ကုန်ကလေးဆေးရုံကြီး,null,null,null,null,10000.0,null,null,null,null,null,null,null,null,null,null,null
155,02/04/2020,Yangon,ရန်ကုန်အရိုးအထူးကုဆေးရုံကြီး,null,null,null,null,5000.0,null,null,null,null,null,null,null,null,null,null,null
156,02/04/2020,Yangon,သင်္ဃန်းကျွန်းအထွေထွေ ရောဂါကု ဆေးရုံ,null,null,null,null,25000.0,null,null,null,null,null,null,null,null,null,null,null
157,02/04/2020,Yangon,အင်းစိန်အထွေထွေရောဂါကု ဆေးရုံကြီး,null,null,null,null,20000.0,null,null,null,null,null,null,null,null,null,null,null
158,02/04/2020,Yangon,ရန်ကင်းကလေးဆေးရုံ,null,null,null,null,10000.0,null,null,null,null,null,null,null,null,null,null,null
159,02/04/2020,Shan (South),စဝ်စံထွန်းဆေးရုံကြီး,null,null,null,null,15000.0,null,null,null,null,null,null,null,null,null,null,null
160,02/04/2020,Shan (South),တောင်ကြီးအမျိုးသမီးနှင့် ကလေးဆေးရုံကြီး,null,null,null,null,10000.0,null,null,null,null,null,null,null,null,null,null,null
161,02/04/2020,Nay Pyi Taw,နေပြည်တော် မျက်စိ၊နား၊နှာခေါင်း၊လည်ချောင်း အထူးကုဆေးရုံ,null,null,null,null,5000.0,null,null,null,null,null,null,null,null,null,null,null
162,02/04/2020,Magway,မကွေးသင်ကြားရေးဆေးရုံကြီး,null,null,null,null,10000.0,null,null,null,null,null,null,null,null,null,null,null
163,02/04/2020,Nay Pyi Taw,နေပြည်တော်အရိုးရောဂါကုဆေးရုံကြီး,null,null,null,null,5000.0,null,null,null,null,null,null,null,null,null,null,null
164,02/04/2020,Nay Pyi Taw,ကလေးအထူးကုဆေးရုံ၊ နေပြည်တော်,null,null,null,null,5000.0,null,null,null,null,null,null,null,null,null,null,null
165,02/04/2020,Nay Pyi Taw,နေပြည်တော်သားဖွား၊မီးယပ်ရောဂါ အထူးကုဆေးရုံ,null,null,null,null,5000.0,null,null,null,null,null,null,null,null,null,null,null
166,04/04/2020,Yangon,ရန်ကုန်လေဆိပ်,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
167,04/04/2020,Yangon,ဗဟိုကူးစက်,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
168,04/04/2020,Yangon,တောင်ဥက္ကလာဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
169,04/04/2020,Bago,ပဲခူး ပြည်သူ့ဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
170,01/04/2020,Yangon,ဗဟိုကူးစက်,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
171,01/04/2020,Yangon,တောင်ဥက္ကလာဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
172,01/04/2020,Yangon,မှော်ဘီဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
173,01/04/2020,Yangon,ဝေဘာဂီဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
174,03/04/2020,Yangon,ဝေဘာဂီဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
175,03/04/2020,Yangon,ရန်ကုန်ပြည်သူ့ဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
176,03/04/2020,Yangon,ရန်ကုန်အထွေထွေရောဂါကုဆေးရုံသစ်ကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
177,03/04/2020,Yangon,ရန်ကုန်ကလေးဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
178,03/04/2020,Yangon,ခုတင်(၅၅၀) ကလေးဆေးရုံ၊ ရန်ကုန်,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
179,03/04/2020,Yangon,ရန်ကုန်ဗဟိုအမျိုးသမီးဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
180,03/04/2020,Yangon,ရန်ကုန်အရိုးအထူးကုဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
181,03/04/2020,Yangon,မြောက်ဥက္ကလာပြည်သူ့ဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
182,03/04/2020,Yangon,အင်းစိန်အထွေထွေရောဂါကု ဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
183,03/04/2020,Yangon,ရန်ကုန်ခုတင်၅၀၀အထူးကုဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
184,03/04/2020,Yangon,သင်္ဃန်းကျွန်းအထွေထွေ ရောဂါကု ဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
185,03/04/2020,Mandalay,မန္တလေးအထွေထွေရောဂါကုဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
186,03/04/2020,Mandalay,ခုတင်(၅၀၀) ကလေးဆေးရုံ၊မန္တလေး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
187,03/04/2020,Mandalay,မန္တလေးကလေးဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
188,03/04/2020,Mandalay,မန္တလေး အရိုးဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
189,03/04/2020,Mandalay,မန္တလေး ဗဟိုအမျိုးသမီးဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
190,03/04/2020,Mandalay,မန္တလေးခုတင် ၃၀၀ သင်ကြားရေးဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
191,03/04/2020,Nay Pyi Taw,နေပြည်တော်ကုတင်၁၀၀၀,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
192,03/04/2020,Nay Pyi Taw,နေပြည်တော်သားဖွား၊မီးယပ်ရောဂါ အထူးကုဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
193,03/04/2020,Nay Pyi Taw,နေပြည်တော်အရိုးရောဂါကုဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
194,03/04/2020,Nay Pyi Taw,နေပြည်တော် မျက်စိ၊နား၊နှာခေါင်း၊လည်ချောင်း အထူးကုဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
195,03/04/2020,Nay Pyi Taw,ကလေးအထူးကုဆေးရုံ၊ နေပြည်တော်,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
196,03/04/2020,Magway,မကွေးသင်ကြားရေးဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
197,03/04/2020,Shan (South),စဝ်စံထွန်းဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
198,03/04/2020,Shan (South),တောင်ကြီးအမျိုးသမီးနှင့် ကလေးဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
199,06/04/2020,Yangon,ရန်ကုန်ပြည်သူ့ဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
200,06/04/2020,Yangon,ရန်ကုန်အထွေထွေရောဂါကုဆေးရုံသစ်ကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
201,06/04/2020,Yangon,မြောက်ဥက္ကလာပြည်သူ့ဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
202,06/04/2020,Yangon,ရန်ကုန်ဗဟိုအမျိုးသမီးဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
203,06/04/2020,Yangon,ရန်ကုန်အရိုးအထူးကုဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
204,06/04/2020,Yangon,သင်္ဃန်းကျွန်းအထွေထွေ ရောဂါကု ဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
205,06/04/2020,Yangon,အင်းစိန်အထွေထွေရောဂါကု ဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
206,06/04/2020,Yangon,ရန်ကုန်ခုတင်၅၀၀အထူးကုဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
207,06/04/2020,Mandalay,မန္တလေးအထွေထွေရောဂါကုဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
208,06/04/2020,Mandalay,မန္တလေး ဗဟိုအမျိုးသမီးဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
209,06/04/2020,Mandalay,မန္တလေး အရိုးဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
210,06/04/2020,Mandalay,မန္တလေးခုတင် ၃၀၀ သင်ကြားရေးဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
211,06/04/2020,Shan (South),စဝ်စံထွန်းဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
212,06/04/2020,Shan (South),တောင်ကြီးအမျိုးသမီးနှင့် ကလေးဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
213,06/04/2020,Magway,မကွေးသင်ကြားရေးဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
214,06/04/2020,Nay Pyi Taw,နေပြည်တော်ကုတင်၁၀၀၀,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
215,06/04/2020,Nay Pyi Taw,နေပြည်တော်အရိုးရောဂါကုဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
216,06/04/2020,Nay Pyi Taw,နေပြည်တော်သားဖွား၊မီးယပ်ရောဂါ အထူးကုဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
217,06/04/2020,Yangon,ဝေဘာဂီဆေးရုံ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
218,06/04/2020,Yangon,လှည်းကူးသင်တန်းကျောင်း,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
219,06/04/2020,Yangon,တောင်ဥက္ကလာ အမျိုးသမီးနှင့် ကလေးဆေးရုံကြီး,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
220,27/03/2020,Yangon,သင်္ဃန်းကျွန်းအထွေထွေ ရောဂါကု ဆေးရုံ,100.0,null,3000.0,2000.0,2000.0,20.0,null,null,null,null,null,null,null,null,null,null
221,10/04/2020,Yangon,ရန်ကုန်အထွေထွေရောဂါကုဆေးရုံသစ်ကြီး,500.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
222,27/03/2020,Yangon,ရန်ကုန်အရိုးအထူးကုဆေးရုံကြီး,50.0,null,1000.0,500.0,500.0,20.0,null,null,null,null,null,null,null,null,null,null
