,SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,Under_5_POP,Above_60_POP,MEAN_HH_Size,BED,PHYSNB,NURSNB,HSNB
59,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005019,Pale,ပုလဲ,156269.0,12310,15590,4,57.0,5.0,17.0,6.0
60,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005020,Katha,ကသာ,160623.0,17122,11029,5,180.0,28.0,38.0,6.0
61,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005021,Indaw,အင်းတော်,125096.0,11922,9832,5,56.0,6.0,8.0,3.0
62,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005022,Tigyaing,ထီးချိုင့်,120370.0,12322,9422,5,139.0,11.0,16.0,5.0
63,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005023,Banmauk,ဗန်းမောက်,101055.0,13376,6853,5,57.0,7.0,15.0,4.0
64,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005024,Kawlin,ကောလင်း,151435.0,12260,12381,5,98.0,6.0,12.0,8.0
65,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005025,Wuntho,ဝန်းသို,73636.0,7377,5851,5,57.0,8.0,10.0,2.0
66,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005026,Pinlebu,ပင်လည်ဘူး,119352.0,12014,8723,5,57.0,9.0,12.0,4.0
67,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005027,Kale,ကလေး,338079.0,33570,26405,5,348.0,81.0,136.0,8.0
68,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005028,Kalewa,ကလေးဝ,57096.0,5044,4329,5,41.0,4.0,7.0,6.0
69,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005029,Mingin,မင်းကင်း,106874.0,10119,8570,5,114.0,9.0,18.0,8.0
70,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005030,Tamu,တမူး,112197.0,13447,7111,5,173.0,28.0,39.0,5.0
71,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005031,Mawlaik,မော်လိုက်,51037.0,5114,4155,5,82.0,6.0,6.0,2.0
72,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005032,Paungbyin,ဖေါင်းပြင်,107891.0,13454,8631,6,null,7.0,17.0,4.0
73,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005033,Hkamti,ခန္တီး,35903.0,4843,2031,5,116.0,20.0,26.0,2.0
74,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005034,Homalin,ဟုမ္မလင်း,205792.0,30992,12772,6,228.0,24.0,49.0,12.0
75,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005035,Lay Shi,လေရှီး,18140.0,2471,935,5,41.0,5.0,12.0,3.0
76,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005036,Lahe,လဟယ်,54713.0,6395,3095,6,91.0,3.0,9.0,4.0
77,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005037,Nanyun,နန်းယွန်း,54378.0,7055,2907,6,57.0,9.0,8.0,3.0
78,MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006001,Dawei,ထားဝယ်,134138.0,12965,14544,5,216.0,9.0,46.0,7.0
79,MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006002,Launglon,လောင်းလုံ,105987.0,11610,14133,5,null,6.0,18.0,6.0
80,MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006003,Thayetchaung,သရက်ချောင်း,121637.0,10359,12226,5,57.0,5.0,22.0,3.0
81,MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006004,Yebyu,ရေဖြူ,119458.0,12739,10356,4,73.0,4.0,29.0,4.0
82,MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006005,Myeik,မြိတ်,255796.0,27430,21123,5,200.0,89.0,40.0,10.0
83,MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006006,Kyunsu,ကျွန်းစု,175234.0,21532,8464,5,0.0,6.0,26.0,5.0
84,MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006007,Palaw,ပုလော,1321726.0,14103,10594,5,130.0,10.0,48.0,5.0
85,MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006008,Tanintharyi,တနင်္သာရီ,97869.0,12625,6109,5,82.0,5.0,23.0,5.0
86,MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006009,Kawthoung,ကော့သောင်း,106910.0,14553,8200,4,164.0,25.0,69.0,8.0
87,MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006010,Bokpyin,ဘုတ်ပြင်း,63081.0,9902,3302,5,82.0,4.0,18.0,3.0
88,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009001,Magway,မကွေး,293489.0,23334,29330,4,500.0,73.0,326.0,11.0
89,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009002,Yenangyaung,ရေနံချောင်း,155016.0,10834,16474,4,98.0,9.0,24.0,8.0
90,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009003,Chauk,ချောက်,212733.0,14570,22270,4,248.0,7.0,24.0,12.0
91,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009004,Taungdwingyi,တောင်တွင်းကြီး,266275.0,22102,26329,4,82.0,9.0,26.0,9.0
92,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009005,Myothit,မြို့သစ်,179544.0,15055,16487,4,null,12.0,26.0,8.0
93,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009006,Natmauk,နတ်မောက်,236885.0,18417,25123,4,82.0,5.0,21.0,8.0
94,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009007,Minbu,မင်းဘူး,180536.0,14714,18053,4,null,82.0,289.0,12.0
95,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009008,Pwintbyu,ပွင့်ဖြူ,177392.0,13746,16162,4,73.0,8.0,27.0,8.0
96,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009009,Ngape,ငဖဲ,51806.0,5217,4827,4,41.0,6.0,19.0,4.0
97,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009010,Salin,စလင်း,250250.0,19213,24849,4,123.0,14.0,38.0,8.0
98,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009011,Sidoktaya,စေတုတ္တရာ,45297.0,4400,5043,4,41.0,5.0,15.0,3.0
99,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009012,Thayet,သရက်,104580.0,7169,11634,4,116.0,23.0,38.0,5.0
100,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009013,Minhla,မင်းလှ,122903.0,11338,12745,4,114.0,6.0,20.0,8.0
101,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009014,Mindon,မင်းတုန်း,62118.0,4138,9082,4,57.0,5.0,21.0,10.0
102,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009015,Kamma,ကံမ,73473.0,5298,9463,4,57.0,6.0,14.0,4.0
103,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009016,Aunglan,အောင်လံ,235935.0,18499,22878,4,130.0,11.0,32.0,9.0
104,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009017,Sinbaungwe,ဆင်ပေါင်ဝဲ,117588.0,9911,11838,4,73.0,4.0,null,99.0
105,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009018,Pakokku,ပခုက္ကူ,318751.0,23952,33280,4,264.0,103.0,203.0,11.0
106,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009019,Yesagyo,ရေစကြို,246608.0,18522,25803,5,180.0,24.0,62.0,13.0
107,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009020,Myaing,မြိုင်,271726.0,19972,27735,4,98.0,9.0,36.0,11.0
108,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009021,Pauk,ပေါက်,182785.0,16962,16585,4,73.0,7.0,27.0,9.0
109,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009022,Seikphyu,ဆိပ်ဖြူ,107834.0,9752,9934,4,82.0,6.0,29.0,4.0
110,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009023,Gangaw,ဂန့်ဂေါ,null,10787,12757,4,180.0,null,null,null
111,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009024,Tilin,ထီးလင်း,50033.0,3331,7107,5,73.0,7.0,32.0,4.0
112,MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009025,Saw,ဆော,69586.0,5026,8710,4,57.0,6.0,26.0,6.0
113,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010001,Aungmyaythazan,အောင်မြေသာဇံ,183966.0,16712,22320,5,null,11.0,5.0,1.0
114,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010002,Chanayethazan,ချမ်းအေးသာဇံ,148027.0,9980,17627,5,2950.0,7.0,5.0,1.0
115,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010003,Mahaaungmyay,မဟာအောင်မြေ,null,15104,18466,5,16.0,null,null,null
116,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010004,Chanmyathazi,ချမ်းမြသာစည်,215394.0,20903,20851,5,1000.0,106.0,9.0,1.0
117,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010005,Pyigyitagon,ပြည်ကြီးတံခွန်,154822.0,19744,14695,5,null,6.0,2.0,0.0
118,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010006,Amarapura,အမရပူရ,185305.0,19243,20145,5,123.0,9.0,19.0,5.0
119,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010007,Patheingyi,ပုသိမ်ကြီး,212526.0,24484,18205,5,273.0,12.0,14.0,6.0
120,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010008,Pyinoolwin,ပြင်ဦးလွင်,179498.0,19915,18652,4,366.0,109.0,168.0,8.0
121,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010009,Madaya,မတ္တရာ,null,23486,21088,4,330.0,14.0,24.0,7.0
122,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010010,Singu,စဉ့်ကူး,143756.0,14850,12277,5,98.0,11.0,18.0,6.0
123,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010011,Mogoke,မိုးကုတ်,171564.0,13946,13895,5,116.0,27.0,51.0,4.0
124,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010012,Thabeikkyin,သပိတ်ကျဉ်း,125776.0,17568,8416,5,null,14.0,19.0,4.0
125,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010013,Kyaukse,ကျောက်ဆည်,258490.0,21972,20910,4,291.0,68.0,111.0,7.0
