,SR_Pcode,State_Region,Tsp_Pcode,Township,Facility,Date,Male,Female,Total
107,MMR010,Mandalay,MMR010031,Wundwin,ရွှေတောင် (အ.ထ.က),31/3/2020,null,null,2
108,MMR010,Mandalay,MMR010031,Wundwin,ခြင်္သေ့လက် (အ.မ.က),31/3/2020,null,null,7
109,MMR010,Mandalay,MMR010031,Wundwin,ကျွတ်ကန် (အ.ထ.က) (ခွဲ),31/3/2020,null,null,5
110,MMR010,Mandalay,MMR010031,Wundwin,ထိန်ကန် (မူလွန်),31/3/2020,null,null,8
111,MMR010,Mandalay,MMR010031,Wundwin,ရွာရှည် (အ.ထ.က),31/3/2020,null,null,1
112,MMR010,Mandalay,MMR010031,Wundwin,ကံကွေ့ (အ.လ.က),31/3/2020,null,null,0
113,MMR010,Mandalay,MMR010031,Wundwin,ဘုရားဖြူ (အ.လ.က),31/3/2020,null,null,0
114,MMR010,Mandalay,MMR010031,Wundwin,အင်္ကန်းကုန်း (ယောဂီဆောင်),31/3/2020,null,null,1
115,MMR010,Mandalay,MMR010031,Wundwin,ဒိုင်ကောင်းကုန်း (အ.ထ.က),31/3/2020,null,null,7
116,MMR010,Mandalay,MMR010031,Wundwin,သင်္ဃန်းဆွဲ (တဲခိုစခန်း),31/3/2020,null,null,8
117,MMR010,Mandalay,MMR010031,Wundwin,ဆူးပန်း (အ.ထ.က)(ခွဲ),31/3/2020,null,null,4
118,MMR010,Mandalay,MMR010031,Wundwin,ကံစွယ် (အ.ထ.က),31/3/2020,null,null,3
119,MMR010,Mandalay,MMR010031,Wundwin,မြောက်ပိုင်း (အ.မ.က),31/3/2020,null,null,5
120,MMR010,Mandalay,MMR010031,Wundwin,ဂုဏ်ရွာ (အ.ထ.က),31/3/2020,null,null,12
121,MMR010,Mandalay,MMR010031,Wundwin,ညောင်အုပ်ဖီး (အ.ထ.က),31/3/2020,null,null,4
122,MMR010,Mandalay,MMR010031,Wundwin,ခင်ကြီး (အ.ထ.က)(ခွဲ),31/3/2020,null,null,2
123,MMR010,Mandalay,MMR010031,Wundwin,နေပူကုန်း (အ.မ.က),31/3/2020,null,null,1
124,MMR010,Mandalay,MMR010031,Wundwin,ဆပ်ခင်း (အ.ထ.က),31/3/2020,null,null,0
125,MMR010,Mandalay,MMR010031,Wundwin,သီးကုန်း (အ.လ.က),31/3/2020,null,null,1
126,MMR010,Mandalay,MMR010031,Wundwin,လိန်ပင် (အ.မ.က),31/3/2020,null,null,2
127,MMR010,Mandalay,MMR010031,Wundwin,နတ်နန်း (အ.မ.က),31/3/2020,null,null,3
128,MMR010,Mandalay,MMR010031,Wundwin,ထနောင်းကုန်း (အ.မ.က),31/3/2020,null,null,1
129,MMR010,Mandalay,MMR010031,Wundwin,ဇချမ်းကုန်း (မ) (မူလွန်),31/3/2020,null,null,1
130,MMR010,Mandalay,MMR010031,Wundwin,မကျီးအုပ် (အုပ်ချုပ်ရေးရုံး),31/3/2020,null,null,11
131,MMR010,Mandalay,MMR010031,Wundwin,သဘွတ်ကုန်း (ဆေးခန်း),31/3/2020,null,null,6
132,MMR010,Mandalay,MMR010031,Wundwin,မကျီးတော (အ.မ.က),31/3/2020,null,null,12
133,MMR010,Mandalay,MMR010031,Wundwin,ရွှေဖလားကန် (တ) (အ.မ.က),31/3/2020,null,null,2
134,MMR010,Mandalay,MMR010031,Wundwin,ရွှေဖလားကန် (မ) (အ.မ.က),31/3/2020,null,null,2
135,MMR010,Mandalay,MMR010031,Wundwin,ပေါက်တော (အ.မ.က),31/3/2020,null,null,2
136,MMR010,Mandalay,MMR010031,Wundwin,တမာကုန်း (အ.ထ.က),31/3/2020,null,null,3
137,MMR010,Mandalay,MMR010031,Wundwin,ဇဝင်း (အ.မ.က),31/3/2020,null,null,45
138,MMR010,Mandalay,MMR010031,Wundwin,ရွာသစ် (အ.ထ.က),31/3/2020,null,null,3
